name,value,year,rank
Coca-Cola,67420.0,2005.2,1
Coca-Cola,67407.1,2004.1,1
Coca-Cola,67394.0,2004.0,1
Coca-Cola,67367.5,2005.3,1
Coca-Cola,67358.5999999998,2017.7,5
IBM,67316.0,2010.5,2
Coca-Cola,67315.0,2005.4,1
Coca-Cola,67287.0999999999,2008.3,1
Coca-Cola,67262.5,2005.5,1
IBM,67239.6999999997,2014.7,4
Coca-Cola,67210.0,2005.6,1
Coca-Cola,67157.5,2005.7,1
Microsoft,67119.2000000005,2000.6,2
Coca-Cola,67105.0,2005.8,1
Coca-Cola,67080.4000000001,2008.2,1
Coca-Cola,67052.5,2005.9,1
Coca-Cola,67019.4000000002,2017.8,5
Microsoft,67018.4000000006,2014.9,4
Coca-Cola,67000.0,2006.0,1
Coca-Cola,66873.6999999998,2008.1,1
Google,66844.1999999993,2011.8,4
Coca-Cola,66832.4000000002,2006.1,1
IBM,66798.2000000005,2010.4,2
Coca-Cola,66680.1999999997,2017.9,5
Coca-Cola,66667.0,2008.0,1
Coca-Cola,66664.7999999999,2006.2,1
Microsoft,66606.3999999998,2000.7,2
Coca-Cola,66532.7000000001,2007.9,1
IBM,66524.8000000003,2014.8,4
Coca-Cola,66497.2000000001,2006.3,1
Coca-Cola,66398.3999999999,2007.8,1
Microsoft,66366.7999999997,2014.8,5
Coca-Cola,66341.0,2018.0,5
Coca-Cola,66329.5999999998,2006.4,1
IBM,66280.3999999998,2010.3,2
Coca-Cola,66264.1000000001,2007.7,1
Coca-Cola,66162.0,2006.5,1
Coca-Cola,66129.7999999999,2007.6,1
Microsoft,66093.6000000002,2000.8,2
Coca-Cola,65995.5,2007.5,1
Coca-Cola,65994.4000000002,2006.6,1
Coca-Cola,65861.2000000001,2007.4,1
Coca-Cola,65826.7999999999,2006.7,1
IBM,65809.8999999994,2014.9,5
IBM,65762.6000000002,2010.2,2
Coca-Cola,65726.8999999999,2007.3,1
Microsoft,65715.2000000003,2014.7,5
Coca-Cola,65659.2000000001,2006.8,1
Coca-Cola,65592.6000000001,2007.2,1
Microsoft,65580.7999999995,2000.9,2
Coca-Cola,65491.5999999998,2006.9,1
Coca-Cola,65458.2999999999,2007.1,1
Google,65403.3000000007,2011.7,3
Coca-Cola,65324.0,2007.0,1
IBM,65244.7999999995,2010.1,2
Microsoft,65174.0,2003.0,2
IBM,65095.0,2015.0,5
Microsoft,65068.0,2001.0,2
Microsoft,65065.7000000001,2002.9,2
Microsoft,65063.5999999994,2014.6,5
Microsoft,64970.3000000001,2001.1,2
Microsoft,64957.4,2002.8,2
Microsoft,64872.6,2001.2,2
Microsoft,64849.1,2002.7,2
Amazon,64796.0,2017.0,5
Microsoft,64793.8000000003,2003.1,2
Microsoft,64774.9,2001.3,2
Microsoft,64740.7999999999,2002.6,2
IBM,64727.0,2010.0,2
Microsoft,64677.1999999999,2001.4,2
Microsoft,64632.5,2002.5,2
Microsoft,64579.5,2001.5,2
Microsoft,64524.2000000001,2002.4,2
Microsoft,64481.8000000001,2001.6,2
Microsoft,64415.9,2002.3,2
Microsoft,64413.5999999998,2003.2,2
Microsoft,64412.0,2014.5,5
Microsoft,64384.1,2001.7,2
Microsoft,64307.6,2002.2,2
Microsoft,64286.4,2001.8,2
IBM,64275.4000000004,2009.9,2
Microsoft,64199.2999999999,2002.1,2
Microsoft,64188.6999999999,2001.9,2
Microsoft,64091.0,2002.0,2
Microsoft,64033.4000000002,2003.3,2
Google,63962.3999999987,2011.6,3
IBM,63835.5000000011,2015.1,5
IBM,63823.7999999998,2009.8,2
Microsoft,63760.4000000006,2014.4,5
Microsoft,63653.1999999997,2003.4,2
Apple,63645.200000002,2011.7,4
IBM,63372.2000000002,2009.7,2
Amazon,63350.2000000013,2016.9,5
Microsoft,63273.0,2003.5,2
Microsoft,63108.7999999997,2014.3,5
IBM,62920.5999999996,2009.6,2
Microsoft,62892.8000000003,2003.6,2
IBM,62575.9999999994,2015.2,5
Google,62521.5,2011.5,3
Microsoft,62512.5999999998,2003.7,2
IBM,62469.0,2009.5,2
Microsoft,62457.2000000003,2014.2,5
Microsoft,62132.4000000002,2003.8,2
IBM,62017.4000000004,2009.4,2
Amazon,61904.3999999993,2016.8,5
Microsoft,61805.5999999994,2014.1,5
Microsoft,61752.1999999997,2003.9,2
IBM,61565.7999999998,2009.3,2
Microsoft,61372.0,2004.0,2
IBM,61316.5000000006,2015.3,5
Microsoft,61228.9000000001,2004.1,2
Microsoft,61154.0,2014.0,5
IBM,61114.2000000002,2009.2,2
Microsoft,61085.7999999999,2004.2,2
Google,61080.6000000013,2011.4,3
Microsoft,60993.2000000001,2013.9,5
Microsoft,60942.7000000001,2004.3,2
Microsoft,60895.0,2010.0,3
Microsoft,60832.3999999999,2013.8,5
Microsoft,60799.5999999999,2004.4,2
Microsoft,60714.2000000002,2010.1,3
Microsoft,60671.6000000001,2013.7,5
IBM,60662.5999999996,2009.1,2
Microsoft,60656.5,2004.5,2
Microsoft,60533.3999999999,2010.2,3
Microsoft,60513.4000000001,2004.6,2
Microsoft,60510.7999999999,2013.6,5
Microsoft,60470.2000000004,2009.9,3
Amazon,60458.6000000007,2016.7,5
Microsoft,60370.2999999999,2004.7,2
Microsoft,60352.6000000001,2010.3,3
Microsoft,60350.0,2013.5,5
Microsoft,60227.2000000001,2004.8,2
IBM,60211.0,2009.0,2
Microsoft,60189.2000000001,2013.4,5
Microsoft,60171.7999999998,2010.4,3
IBM,60093.0000000001,2008.9,2
Microsoft,60084.0999999999,2004.9,2
IBM,60056.9999999989,2015.4,5
Microsoft,60045.3999999998,2009.8,3
Microsoft,60028.3999999999,2013.3,5
Microsoft,59991.0,2010.5,3
IBM,59974.9999999999,2008.8,2
Microsoft,59941.0,2005.0,2
Samsung,59890.0,2018.0,6
Microsoft,59867.6000000001,2013.2,5
IBM,59857.0000000001,2008.7,2
Microsoft,59810.2000000002,2010.6,3
IBM,59738.9999999999,2008.6,2
Microsoft,59706.7999999999,2013.1,5
Google,59639.6999999993,2011.3,3
Microsoft,59639.5000000003,2005.1,2
Microsoft,59629.3999999999,2010.7,3
IBM,59621.0,2008.5,2
Microsoft,59620.6000000002,2009.7,3
Microsoft,59546.0,2013.0,5
Samsung,59525.9000000003,2017.9,6
IBM,59503.0000000001,2008.4,2
Microsoft,59448.6000000001,2010.8,3
IBM,59384.9999999999,2008.3,2
Microsoft,59376.7000000002,2012.9,5
Microsoft,59337.9999999999,2005.2,2
Apple,59337.5999999961,2011.6,4
Microsoft,59267.7999999998,2010.9,3
IBM,59267.0000000001,2008.2,2
Microsoft,59207.3999999999,2012.8,5
Microsoft,59195.7999999996,2009.6,3
Samsung,59161.7999999998,2017.8,6
IBM,59148.9999999999,2008.1,2
Microsoft,59087.0,2011.0,3
Microsoft,59038.1000000001,2012.7,5
Microsoft,59036.5000000001,2005.3,2
IBM,59031.0,2008.0,2
Amazon,59012.7999999987,2016.6,5
Microsoft,59007.0,2008.0,3
Microsoft,58977.2,2007.9,2
Microsoft,58963.6000000001,2011.1,3
Microsoft,58947.4,2007.8,2
Microsoft,58917.6,2007.7,2
Microsoft,58887.8,2007.6,2
